NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius
144 571.48 227.20 0.31 88.89 4.51
145 786.07 226.78 0.17 9.99 4.85
146 1387.05 228.34 0.14 -77.50 5.01
147 1194.67 229.30 0.69 87.09 1.69
148 1914.45 229.95 0.39 7.12 3.83
149 246.78 232.37 0.17 39.74 3.52
150 1841.52 237.68 0.11 17.01 8.25
151 1885.97 231.78 0.47 11.81 2.19
152 1089.91 235.50 0.22 -37.05 3.24
153 533.57 236.73 0.29 -29.57 1.78
154 1578.32 237.21 0.28 8.90 2.59
155 828.34 239.55 0.15 -20.70 1.69
156 795.82 240.40 0.48 -23.37 1.60
157 465.75 245.04 0.38 5.75 2.52
158 1194.61 260.04 0.02 14.06 13.40
159 1946.63 249.77 0.32 -59.46 1.78
160 1922.47 254.72 0.33 -53.03 1.78
161 1460.63 261.03 0.09 -41.85 5.89
162 463.20 258.64 0.21 -17.99 1.78
163 648.54 270.91 0.38 31.51 9.03
164 1323.72 264.55 0.34 -78.72 2.82
165 749.86 264.16 0.40 -4.62 2.11
166 238.52 267.84 0.35 34.26 5.23
167 850.48 266.40 0.13 -5.55 4.03
168 1578.53 265.33 0.43 56.43 1.78
169 1839.40 271.30 0.20 -42.77 4.85
170 514.86 281.19 0.14 37.39 11.98
171 375.70 271.48 0.49 27.54 2.26
172 580.49 276.15 0.17 39.66 6.05
173 845.48 283.39 0.17 44.40 9.54
174 49.26 278.98 0.32 16.35 5.41
175 726.27 296.71 0.05 50.34 13.89
176 2013.96 284.92 0.67 71.66 1.60
177 888.88 285.42 0.30 36.04 1.95
178 1867.24 290.04 0.21 -33.91 5.50
179 1753.66 288.22 0.58 -58.46 1.69
180 1020.65 292.16 0.11 -74.83 4.33
181 208.82 294.90 0.40 26.67 3.78
182 294.61 297.45 0.14 -87.60 3.87
183 1636.52 298.60 0.36 -5.12 3.34
184 63.64 305.69 0.31 14.53 6.26
185 519.84 302.02 0.15 33.42 2.39
186 1750.82 308.73 0.25 -76.62 6.58
187 2019.23 304.43 0.53 89.05 1.69
188 1355.11 307.43 0.57 -39.07 1.60
189 1107.60 332.30 0.01 76.92 19.47
190 558.00 317.05 0.27 33.14 4.26
191 75.40 321.34 0.28 -42.12 6.21
192 848.35 319.82 0.14 -8.83 3.34
193 1022.39 323.13 0.17 57.57 2.88
194 288.71 325.64 0.05 7.61 3.48
195 1248.19 329.09 0.10 -4.51 3.34
196 1877.12 329.81 0.09 88.56 3.09
197 1704.09 332.87 0.27 -48.73 5.01
198 1800.35 335.88 0.22 -59.79 7.11
199 570.23 334.17 0.22 -60.29 2.33
200 1238.45 335.87 0.32 17.22 6.00
201 874.37 338.27 0.38 77.67 4.65
202 201.37 333.95 0.51 -33.24 1.69
203 1372.61 336.11 0.07 74.47 3.14
204 2011.38 337.01 0.72 -11.41 1.69
205 426.52 343.30 0.08 30.22 6.15
206 1905.36 338.70 0.66 70.10 1.60
207 1720.88 343.29 0.08 -57.52 4.30
208 774.61 349.91 0.03 78.18 7.38
209 1337.67 347.80 0.04 22.12 3.99
210 614.39 348.34 0.36 56.45 3.24
211 832.15 352.63 0.38 78.64 5.50
212 1210.85 353.77 0.07 78.58 4.82
213 413.50 369.21 0.15 31.94 16.12
214 947.04 351.63 0.37 40.83 1.95
215 1864.53 360.80 0.13 -21.03 6.38
216 278.49 358.28 0.34 43.07 3.95
217 688.04 360.49 0.24 89.22 4.75
218 940.56 357.42 0.23 66.11 2.59
219 1637.97 362.77 0.06 20.24 5.44
220 1069.96 364.61 0.06 49.99 6.68
221 1261.27 361.38 0.77 -11.62 1.60
222 1307.80 366.24 0.12 -67.41 4.48
223 155.20 369.63 0.39 14.60 2.76
224 1026.12 372.02 0.46 -84.45 1.78
225 351.23 374.93 0.27 39.36 3.95
226 1846.16 373.97 0.47 63.39 1.69
227 672.11 378.02 0.48 -83.26 2.65
228 706.80 377.62 0.16 -31.79 3.04
229 647.74 380.23 0.21 -56.49 3.19
230 1551.51 378.02 0.41 -45.93 1.60
231 1948.66 393.80 0.14 -32.65 16.77
232 1847.54 382.86 0.27 -24.95 5.89
233 543.33 382.44 0.46 10.85 3.87
234 992.15 388.43 0.37 -19.56 5.92
235 339.83 386.21 0.52 51.79 1.95
236 858.86 390.31 0.46 70.96 4.95
237 967.91 394.37 0.15 40.39 9.80
238 215.10 391.54 0.33 31.07 5.26
239 251.91 396.70 0.49 50.31 8.63
240 1686.40 397.80 0.17 -71.36 8.59
241 1915.00 391.12 0.10 73.46 3.24
242 785.29 389.17 0.54 36.01 1.60
243 402.18 395.95 0.25 57.13 4.55
244 1852.30 402.00 0.24 84.29 5.97
245 1304.83 400.67 0.24 -28.62 5.47
246 1830.18 401.21 0.08 -10.16 5.38
247 724.38 398.84 0.34 -31.52 1.95
248 1972.69 400.72 0.18 -36.67 3.29
249 1674.06 402.01 0.39 -43.80 2.82
250 1546.58 402.07 0.45 56.84 1.78
251 517.33 411.80 0.10 47.81 7.46
252 191.82 410.37 0.27 26.34 6.60
253 472.54 412.66 0.11 39.68 7.44
254 367.03 409.35 0.25 44.75 4.30
255 1120.56 409.91 0.16 -37.70 4.92
256 1198.48 415.04 0.10 -64.87 7.11
257 977.13 413.34 0.06 -71.76 4.89
258 1861.08 409.80 0.37 -58.34 1.87
259 643.24 421.05 0.08 51.51 6.82
260 1043.56 419.82 0.09 -13.28 4.79
261 1148.48 424.08 0.01 -1.97 4.69
262 1165.29 423.74 0.09 -61.83 5.75
263 138.69 426.85 0.32 23.49 8.16
264 1946.08 426.92 0.25 32.97 2.93
265 1330.05 427.37 0.03 -38.45 2.19
266 1924.84 429.58 0.31 -44.09 3.29
267 1024.07 434.31 0.33 39.25 5.05
268 1101.06 431.55 0.40 -87.12 2.11
269 599.74 434.05 0.30 51.21 3.34
270 1236.24 435.16 0.37 22.59 1.78
271 2005.55 439.04 0.79 -88.55 2.03
272 222.15 443.15 0.32 17.21 5.47
273 1453.10 440.64 0.59 62.96 1.60
274 1639.39 441.37 0.33 86.91 1.60
275 1643.36 443.36 0.51 -64.44 2.03
276 1449.15 443.14 0.19 -47.52 1.60
277 1233.83 445.92 0.21 -56.65 2.71
278 559.15 446.40 0.63 -53.20 1.60
279 1944.83 454.92 0.12 -23.72 9.20
280 2002.85 452.51 0.47 89.86 3.43
281 1658.74 454.65 0.40 16.45 5.50
282 1723.00 453.72 0.16 -69.86 5.17
283 1819.37 454.44 0.31 3.20 5.53
284 1125.41 457.34 0.21 2.82 5.73
285 1794.15 455.74 0.52 -89.70 2.39
286 1845.73 459.01 0.08 -67.46 6.23
287 1340.40 467.30 0.04 -76.87 12.35
288 900.59 460.55 0.47 -53.40 3.99
289 1909.29 459.17 0.41 -41.06 3.39
290 489.72 462.47 0.33 8.81 6.18
291 685.73 464.48 0.33 76.30 4.15
292 2001.98 466.37 0.49 -84.82 3.57
293 626.46 470.00 0.35 48.78 2.71
294 1443.14 474.65 0.06 -64.31 6.89
295 881.33 471.77 0.20 -51.81 4.18
296 1976.07 474.28 0.13 -76.67 4.37
297 1216.05 472.28 0.38 72.00 2.19
298 1733.10 474.37 0.09 -51.31 4.55
299 123.25 476.03 0.12 2.52 4.44
300 729.62 475.59 0.16 52.37 4.03
301 1048.35 476.63 0.16 88.71 4.62
302 1545.49 478.95 0.06 -24.18 2.76
303 280.28 487.74 0.19 20.55 9.11
304 1229.14 487.72 0.30 15.72 6.02
305 2002.58 484.28 0.22 -42.63 2.19
306 1817.55 493.31 0.10 -35.22 5.35
307 112.38 495.39 0.39 15.13 3.91
308 769.19 502.14 0.09 49.72 9.92
309 1476.78 497.76 0.05 44.99 4.26
310 916.93 500.26 0.12 42.25 5.53
311 508.86 499.72 0.32 50.79 3.95
312 1500.52 501.10 0.09 -1.41 6.08
313 723.05 503.81 0.12 68.23 4.03
314 1422.94 502.87 0.50 41.51 2.39
315 321.49 503.14 0.57 37.52 1.60
316 405.96 510.04 0.46 40.41 5.59
317 1225.69 507.96 0.09 -13.56 4.85
318 1290.64 507.25 0.15 77.65 2.26
319 510.33 510.75 0.02 15.02 4.82
320 1993.05 510.76 0.67 -71.44 1.69
321 160.76 511.19 0.26 88.30 1.78
322 1299.97 525.12 0.02 62.19 12.62
323 1490.68 516.20 0.14 77.92 2.26
324 333.42 517.75 0.21 51.38 3.19
325 461.99 517.51 0.59 -63.71 1.60
326 72.20 521.07 0.34 19.96 4.69
327 456.58 526.95 0.41 43.50 6.36
328 1738.01 526.62 0.10 -81.11 5.81
329 1777.93 522.37 0.30 -34.45 3.43
330 1822.53 524.08 0.07 13.65 3.78
331 1609.75 525.36 0.11 -57.03 2.65
332 520.58 528.72 0.15 81.82 4.30
333 1557.45 529.28 0.06 57.45 6.15
334 358.07 529.56 0.25 -18.36 5.56
335 250.50 532.29 0.34 -0.66 5.50
336 1775.12 534.12 0.10 -12.00 4.22
337 546.95 535.30 0.53 49.97 1.69
338 1012.85 538.08 0.11 -21.28 3.52
339 1789.14 545.09 0.07 -20.54 8.79
340 718.90 543.61 0.08 56.08 4.51
341 1152.50 545.84 0.32 73.98 3.19
342 1635.24 543.75 0.60 -44.71 1.60
343 1242.21 545.46 0.26 -42.96 2.19
344 1760.02 559.76 0.01 55.42 16.25
345 1536.88 549.02 0.21 44.20 2.39
346 1209.03 553.97 0.36 -87.55 2.59
347 1097.05 556.41 0.11 80.43 4.79
348 1291.30 558.99 0.19 -68.24 5.89
349 1981.90 555.36 0.46 -22.63 1.60
350 1832.17 557.18 0.56 11.61 1.87
351 1988.66 559.47 0.62 50.76 2.39
352 878.41 562.43 0.52 -47.35 1.87
353 1157.20 567.44 0.08 41.56 4.44
354 957.81 567.01 0.12 -10.33 2.65
355 507.87 569.06 0.29 -39.09 2.59
356 1657.04 578.68 0.02 87.22 12.51
357 473.14 570.20 0.23 -4.55 3.57
358 1695.68 573.69 0.25 35.44 6.63
359 677.97 582.98 0.06 69.91 12.88
360 1548.89 577.05 0.04 68.88 7.98
361 1797.65 571.16 0.26 62.00 2.19
362 648.71 573.43 0.44 82.62 2.19
363 460.82 583.62 0.12 30.98 8.50
364 32.39 581.45 0.65 81.04 1.60
365 299.63 580.20 0.27 -5.83 2.11
366 1783.61 585.01 0.05 38.53 4.37
367 342.98 589.33 0.19 21.66 6.72
368 1178.11 588.01 0.13 -76.05 5.61
369 723.74 585.83 0.26 10.41 2.46
370 165.84 590.26 0.35 38.61 3.87
371 1377.32 589.90 0.40 -15.42 2.33
372 1987.27 592.02 0.35 79.62 2.19
373 701.65 594.21 0.11 78.80 1.95
374 100.64 597.41 0.16 76.39 3.43
375 969.32 596.25 0.07 65.72 2.52
376 874.95 602.23 0.20 33.19 6.72
377 901.59 599.74 0.18 -24.49 2.82
378 502.79 604.24 0.15 41.24 5.35
379 1376.87 604.54 0.05 -35.02 4.22
380 553.89 610.10 0.24 -18.29 4.48
381 1782.27 617.92 0.27 -82.31 5.44
382 1974.79 618.00 0.06 -16.26 2.76
383 431.99 622.62 0.27 -26.20 3.52
384 1338.48 622.49 0.31 -19.44 2.39
385 1984.42 635.36 0.23 -66.74 9.44
386 2026.30 634.14 0.15 -55.80 5.75
387 541.04 640.58 0.27 -79.30 8.59
388 779.70 633.78 0.22 64.67 2.99
389 1518.59 633.87 0.23 -7.47 3.39
390 1653.36 632.30 0.42 -18.31 2.33
391 385.93 636.92 0.34 36.58 3.39
392 1210.84 636.91 0.22 6.40 2.19
393 426.82 641.20 0.78 58.03 1.87
394 746.42 641.00 0.26 -24.78 3.34
395 1552.13 639.61 0.49 -44.38 1.87
396 757.37 644.25 0.23 8.47 3.74
397 1685.67 651.92 0.09 -80.48 7.16
398 788.07 647.49 0.15 -15.26 3.70
399 813.75 649.32 0.31 50.33 3.43
400 130.09 668.00 0.23 14.91 18.53
401 1506.76 658.98 0.27 88.81 6.02
402 1925.73 655.93 0.51 -48.66 1.69
403 527.94 662.66 0.10 15.97 7.11
404 913.21 663.14 0.06 81.81 3.43
405 1961.98 662.19 0.13 -81.09 3.78
406 1061.80 667.82 0.03 -31.89 6.23
407 1022.33 669.86 0.07 0.17 3.29
408 1142.79 672.12 0.16 -61.33 5.38
409 1648.01 672.68 0.52 37.00 5.56
410 692.02 672.00 0.21 81.39 2.82
411 1604.94 673.49 0.20 -85.67 3.91
412 828.26 681.26 0.43 -19.67 10.49
413 2001.28 673.84 0.21 -11.27 3.29
414 1550.14 678.82 0.06 -77.53 5.47
415 1826.01 676.34 0.37 20.23 3.39
416 1504.95 679.82 0.52 -33.78 1.69
417 189.68 680.45 0.38 -83.39 1.69
418 1691.14 682.02 0.38 80.67 2.26
419 2030.38 683.19 0.18 -3.78 2.65
420 77.33 689.23 0.31 11.83 6.15
421 409.00 688.07 0.70 72.45 1.69
422 1632.39 694.70 0.01 67.63 7.14
423 801.84 692.05 0.29 78.53 2.59
424 495.16 693.30 0.03 -33.96 3.74
425 315.10 692.55 0.46 -29.91 1.69
426 166.13 697.81 0.20 25.31 5.26
427 365.81 693.55 0.51 -39.01 1.69
428 690.83 696.80 0.28 -65.65 2.59
429 1656.74 695.76 0.17 -21.28 2.59
430 811.49 702.49 0.08 -79.08 6.33
431 1051.22 698.38 0.50 27.79 2.03
432 108.90 701.44 0.32 5.11 5.05
433 774.03 701.39 0.15 -82.42 4.37
434 996.48 698.47 0.24 48.52 2.11
435 1423.80 701.31 0.08 79.70 4.92
436 125.91 700.72 0.24 -27.58 2.88
437 1490.48 704.47 0.17 -83.73 6.02
438 1572.09 706.43 0.25 -71.89 8.27
439 403.76 704.43 0.27 35.25 3.99
440 644.45 711.14 0.12 63.97 5.08
441 1653.32 712.14 0.20 -20.23 5.56
442 44.57 712.60 0.28 4.22 4.89
443 391.94 712.98 0.25 41.24 3.04
444 402.41 715.34 0.36 -26.17 3.29
445 1430.22 716.69 0.33 -44.17 1.87
446 487.61 721.40 0.22 28.38 4.92
447 47.90 722.50 0.61 75.85 2.26
448 377.95 726.19 0.17 27.51 5.56
449 1799.67 730.95 0.02 29.92 7.82
450 1921.17 726.99 0.10 -16.53 5.59
451 1235.32 729.50 0.17 -21.96 6.56
452 1677.98 727.89 0.46 75.06 2.03
453 1476.95 730.22 0.14 22.22 2.33
454 496.89 732.29 0.37 -51.84 3.39
455 1597.79 738.29 0.51 75.35 6.53
456 892.75 735.17 0.19 -9.95 4.51
457 944.63 737.97 0.52 -13.98 7.76
458 1433.40 735.45 0.43 83.81 1.87
459 1657.22 744.17 0.02 86.45 9.87
460 1292.95 736.89 0.62 88.83 2.39
461 1983.26 736.32 0.22 27.70 2.26
462 450.68 743.87 0.48 34.45 7.40
463 75.93 745.02 0.18 26.59 5.47
464 1300.81 741.01 0.41 66.37 2.11
465 1206.97 746.47 0.11 -43.20 5.53
466 622.69 745.08 0.31 -57.27 2.46
467 1329.97 752.12 0.05 -69.20 9.34
468 114.98 750.06 0.29 24.65 5.38
469 1558.78 753.58 0.23 51.33 5.78
470 515.29 752.86 0.53 -17.22 2.26
471 1227.02 757.21 0.03 -73.60 7.09
472 1687.15 758.63 0.03 -38.48 6.53
473 708.00 754.19 0.16 39.56 1.87
474 645.73 765.63 0.11 51.86 10.66
475 1299.07 758.77 0.10 -53.58 2.19
476 1421.56 765.89 0.14 89.98 6.91
477 1821.53 764.17 0.22 -69.83 3.66
478 1069.77 764.60 0.41 -71.38 1.60
479 1177.90 769.29 0.33 89.25 4.26
480 1235.40 778.49 0.04 -79.79 8.12
481 1260.78 783.38 0.11 -49.01 5.59
482 684.15 784.49 0.21 89.77 1.78
483 447.25 786.89 0.40 -9.72 2.19
484 1500.12 790.23 0.08 56.01 5.26
485 178.94 790.02 0.47 1.97 2.26
486 1252.83 790.46 0.18 21.60 1.69
487 696.79 794.56 0.11 89.89 4.95
488 323.11 795.99 0.13 -11.43 3.19
489 1315.04 798.80 0.09 68.40 5.81
490 1872.55 796.56 0.11 27.11 2.82
491 306.27 800.12 0.31 15.19 5.17
492 1093.43 813.83 0.06 -70.32 10.85
493 612.64 805.01 0.66 -49.90 1.95
494 643.94 805.43 0.10 41.92 2.76
495 861.63 809.13 0.26 82.17 4.75
496 1476.41 810.29 0.06 -83.45 4.30
497 492.55 808.47 0.52 47.87 1.87
498 714.68 813.36 0.14 64.94 6.05
499 1806.80 809.67 0.28 -84.64 1.60
500 1761.51 818.46 0.25 -6.20 10.69
501 1812.87 814.64 0.22 -23.41 3.34
502 529.77 817.80 0.10 84.04 5.08
503 358.19 825.95 0.12 27.77 6.79
504 791.24 820.66 0.31 -61.54 2.52
505 1310.40 822.09 0.11 22.73 3.66
506 809.18 825.92 0.26 -9.68 6.98
507 1533.25 824.91 0.20 64.09 3.24
508 1732.07 825.64 0.38 -53.14 1.69
509 1157.88 834.91 0.04 -1.23 7.90
510 531.49 832.02 0.32 -46.06 1.69
511 582.57 837.66 0.05 49.36 3.61
512 1648.56 837.32 0.20 -74.02 3.57
513 105.77 836.63 0.57 6.20 2.26
514 1219.56 836.12 0.42 -3.95 2.19
515 401.39 839.69 0.04 51.88 3.78
516 814.65 844.73 0.10 -59.18 7.46
517 1461.43 840.80 0.25 84.03 2.82
518 1904.31 843.46 0.11 0.55 5.92
519 225.82 846.17 0.18 -6.02 5.23
520 1013.85 849.65 0.15 65.43 6.00
521 562.70 852.30 0.09 19.45 4.85
522 798.23 854.99 0.12 -81.11 5.78
523 244.48 853.27 0.37 10.27 4.11
524 628.13 853.95 0.14 77.09 1.60
525 1830.66 856.81 0.44 -56.25 2.52
526 134.01 860.09 0.29 9.96 5.67
527 454.67 858.69 0.29 -16.71 3.57
528 506.27 860.87 0.33 31.84 5.29
529 1391.99 866.36 0.18 89.32 4.18
530 213.86 864.72 0.55 54.60 1.60
531 436.30 867.55 0.51 -75.53 3.43
532 627.01 865.03 0.07 24.34 2.39
533 100.72 874.55 0.31 -4.67 6.02
534 346.31 870.80 0.41 35.84 2.59
535 312.25 876.00 0.24 24.75 3.04
536 801.81 876.18 0.48 85.21 2.03
537 824.52 877.83 0.60 -2.35 1.95
538 1974.55 889.98 0.03 6.44 11.08
539 763.64 885.93 0.15 89.62 5.26
540 553.87 892.34 0.05 42.33 9.37
541 1928.20 886.42 0.16 10.76 3.34
542 626.88 890.50 0.20 15.49 4.11
543 1565.28 897.64 0.18 -58.88 6.43
544 257.07 896.75 0.17 4.48 5.47
545 493.63 895.27 0.14 31.92 3.14
546 1525.12 897.85 0.17 80.04 4.69
547 1208.69 897.71 0.52 -63.51 2.65
548 1391.61 899.07 0.40 74.87 2.52
549 1301.35 899.11 0.43 88.45 1.95
550 378.15 902.52 0.28 29.65 4.07
551 1266.67 918.07 0.03 71.54 15.36
552 1356.07 906.19 0.34 -84.47 3.29
553 1999.80 911.23 0.24 -76.75 3.87
554 767.18 914.02 0.17 61.21 5.67
555 270.23 914.45 0.40 86.88 1.60
556 393.62 923.10 0.10 9.16 8.31
557 75.56 917.47 0.43 26.32 2.33
558 1552.61 916.62 0.04 -58.49 2.59
559 36.46 921.44 0.32 9.27 5.35
560 2007.35 921.72 0.16 1.10 4.51
561 1655.05 924.61 0.31 -72.49 4.95
562 49.39 923.97 0.57 13.85 2.65
563 976.52 925.74 0.28 -55.86 3.66
564 1566.44 927.43 0.28 -10.09 4.44
565 92.41 930.83 0.47 -66.91 1.60
566 820.90 932.74 0.15 -79.19 2.82
567 1334.88 952.73 0.02 55.76 19.03
568 640.82 939.08 0.22 -42.00 6.41
569 1670.66 943.45 0.03 85.42 8.61
570 432.96 940.18 0.20 38.33 4.33
571 806.21 936.86 0.12 -5.63 2.82
572 388.55 946.45 0.14 20.91 7.69
573 494.38 940.70 0.11 14.24 2.39
574 1703.24 942.64 0.43 69.04 1.60
575 587.03 946.88 0.35 43.63 3.91
576 1854.30 951.44 0.19 -70.09 3.39
577 311.53 955.84 0.10 42.73 2.82
578 592.07 968.07 0.11 23.02 11.08
579 970.44 965.39 0.07 74.24 7.07
580 914.63 963.29 0.19 46.90 5.41
581 744.94 967.32 0.35 70.14 6.00
582 1305.71 971.84 0.09 89.13 7.42
583 399.53 972.33 0.39 18.32 6.48
584 489.77 974.77 0.26 51.02 5.44
585 51.23 974.84 0.43 29.55 2.03
586 1022.47 993.42 0.05 69.42 12.21
587 971.06 984.40 0.06 15.58 4.18
588 1095.82 984.72 0.33 -80.29 3.78
589 1564.61 989.29 0.30 -89.04 5.59
590 467.92 988.61 0.39 -32.65 6.48
591 388.24 985.18 0.09 20.65 1.60
592 1370.91 1000.12 0.03 63.02 9.13
593 857.13 995.62 0.13 2.98 3.95
594 1348.97 993.98 0.19 -48.64 2.11
595 1826.04 999.81 0.26 83.84 2.11
596 457.58 1002.95 0.30 65.94 2.33
597 436.42 1012.69 0.28 33.41 5.64
598 701.84 1010.18 0.21 43.06 1.60
599 633.50 1011.00 0.19 1.33 1.60
600 1594.71 1019.03 0.38 77.04 4.55
601 945.43 1023.69 0.29 50.59 5.44
602 104.76 1023.94 0.44 23.83 3.04
603 1300.89 1028.28 0.17 53.82 2.52
604 370.21 1030.60 0.13 -0.04 3.78
605 70.06 1037.33 0.25 7.49 5.38
606 1889.98 1038.12 0.25 -8.57 5.70
607 681.93 1040.47 0.02 63.82 5.17
