NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius
111 1086.64 196.28 0.19 -7.84 1.69
112 428.40 200.78 0.47 52.02 3.24
113 1749.79 201.02 0.27 -47.01 5.92
114 1094.05 206.98 0.07 63.77 4.18
115 133.02 204.86 0.29 -38.20 1.78
116 1168.01 207.45 0.15 53.40 3.09
117 1723.16 211.74 0.27 -54.84 7.27
118 405.71 207.87 0.12 56.52 2.71
119 1683.27 207.51 0.15 -0.36 2.39
120 1235.50 209.76 0.28 71.81 2.39
121 1276.29 208.68 0.50 7.13 2.76
122 985.09 211.86 0.40 -68.68 1.69
123 1540.52 213.69 0.34 -77.57 2.99
124 173.30 212.88 0.24 26.83 2.39
125 1443.25 220.44 0.26 -66.47 5.38
126 1806.74 216.10 0.52 -86.34 1.60
127 706.81 216.87 0.25 22.61 2.46
128 1968.11 219.04 0.29 -40.57 3.09
129 1181.42 220.32 0.19 85.75 3.87
130 761.60 222.86 0.15 73.21 4.15
131 808.14 219.88 0.26 -77.06 1.69
132 999.63 219.42 0.31 40.75 1.69
133 690.04 222.36 0.52 -44.42 1.60
134 1689.01 222.38 0.16 -1.38 2.39
135 718.93 224.57 0.40 -82.88 1.95
136 768.02 224.96 0.04 -39.56 1.69
137 2022.77 231.13 0.24 -39.55 6.86
138 94.26 229.30 0.16 15.04 2.76
139 507.04 229.67 0.58 14.29 3.87
140 187.63 233.61 0.40 44.50 6.28
141 854.77 230.47 0.34 -61.24 1.95
142 1770.48 235.87 0.37 -35.74 2.88
143 1809.95 239.73 0.31 -38.28 3.66
144 882.22 243.72 0.10 -78.12 5.08
145 1931.13 242.11 0.20 -60.96 2.82
146 991.84 247.90 0.07 -84.14 8.00
147 1865.51 243.51 0.06 -61.56 2.39
148 206.82 244.14 0.35 44.30 1.95
149 1636.11 246.55 0.13 65.58 3.09
150 700.24 253.47 0.09 79.97 7.16
151 214.80 250.31 0.16 56.68 2.52
152 1725.40 252.10 0.42 -45.66 3.52
153 971.93 251.80 0.24 79.11 2.71
154 1868.02 255.39 0.25 -88.87 4.98
155 1047.20 255.84 0.56 -59.25 1.60
156 835.54 259.75 0.22 89.47 3.48
157 979.49 257.04 0.24 -20.04 3.14
158 1229.35 258.47 0.31 33.92 3.04
159 74.10 259.56 0.48 -63.68 1.69
160 95.03 265.90 0.20 34.48 6.56
161 189.75 268.12 0.19 38.84 7.53
162 714.40 268.30 0.41 -52.81 2.76
163 812.38 268.27 0.37 -67.31 1.87
164 1100.91 267.76 0.28 -2.47 2.52
165 1116.14 271.59 0.14 -84.55 3.43
166 738.23 277.20 0.14 81.10 3.95
167 1773.80 281.62 0.28 -51.06 6.38
168 1917.18 278.65 0.17 77.97 2.76
169 797.18 281.51 0.55 5.26 2.46
170 172.79 286.43 0.24 -59.59 1.95
171 1445.19 288.38 0.44 -86.27 1.87
172 1142.56 289.98 0.13 -43.49 3.04
173 1273.36 292.17 0.12 75.87 3.61
174 448.05 305.34 0.22 48.26 10.25
175 601.00 294.04 0.06 -43.40 1.69
176 872.65 296.16 0.25 -62.34 2.59
177 1317.39 297.65 0.14 4.12 4.95
178 1209.89 300.56 0.19 86.27 2.99
179 530.56 309.70 0.17 55.45 9.74
180 1462.58 303.18 0.31 -33.32 2.71
181 1935.68 306.46 0.22 -47.78 4.15
182 1037.40 307.09 0.73 84.07 2.33
183 1224.33 305.71 0.15 30.97 2.52
184 1594.78 310.68 0.59 -85.91 2.03
185 1304.48 314.96 0.07 -40.31 6.70
186 295.60 314.38 0.28 45.20 5.29
187 1231.68 317.41 0.07 -59.44 7.55
188 1904.86 332.79 0.22 -41.28 16.83
189 1472.90 317.58 0.48 -52.69 2.19
190 424.93 319.74 0.38 21.57 3.14
191 1600.66 320.57 0.29 -23.15 3.34
192 105.16 323.31 0.46 20.72 5.38
193 461.61 327.96 0.23 49.64 5.20
194 1243.17 326.51 0.07 2.07 3.48
195 912.45 327.98 0.04 64.67 2.46
196 1087.18 333.45 0.58 46.70 6.89
197 1156.13 336.62 0.06 -70.98 8.21
198 1141.39 328.11 0.35 -51.35 1.78
199 768.56 335.33 0.42 37.20 5.61
200 200.98 333.78 0.62 60.96 2.11
201 870.54 332.43 0.61 -28.90 1.60
202 1041.28 336.73 0.82 89.87 3.14
203 383.38 337.59 0.27 52.26 5.23
204 1139.67 339.92 0.08 -70.27 3.91
205 1019.95 346.91 0.82 -82.76 2.76
206 700.40 344.16 0.19 18.74 2.88
207 1026.00 345.17 0.69 -83.86 2.26
208 448.22 347.69 0.17 69.10 3.70
209 127.22 354.18 0.16 28.91 7.02
210 176.02 358.30 0.35 35.02 10.30
211 1071.79 353.14 0.10 -68.25 3.91
212 1272.92 352.71 0.17 -51.26 1.95
213 1894.10 352.88 0.58 44.52 1.69
214 980.38 358.49 0.31 -47.86 4.89
215 1962.18 356.48 0.41 -39.74 4.33
216 874.75 361.50 0.17 -72.78 4.15
217 1019.39 361.04 0.71 87.21 1.60
218 1497.57 360.69 0.50 -67.74 2.19
219 428.36 360.94 0.31 22.89 2.33
220 641.94 364.01 0.14 59.44 5.29
221 78.24 366.79 0.55 39.12 3.91
222 1544.23 367.86 0.10 -58.53 2.93
223 628.15 370.67 0.07 -46.70 4.30
224 1026.02 369.95 0.31 -87.74 1.60
225 1530.04 372.16 0.16 -44.74 2.88
226 70.07 375.57 0.42 38.78 4.69
227 1197.04 376.17 0.24 76.65 3.34
228 1026.05 375.33 0.38 69.36 1.60
229 178.54 376.37 0.28 -2.11 2.39
230 1632.27 376.75 0.21 -19.51 2.26
231 215.74 379.55 0.21 61.60 1.95
232 354.42 384.29 0.28 83.90 2.39
233 1079.18 384.90 0.18 -57.92 3.52
234 468.84 384.66 0.28 -71.45 1.69
235 1938.22 390.26 0.22 -23.77 4.55
236 1659.94 388.18 0.12 22.92 1.95
237 1040.11 390.80 0.10 -81.94 3.09
238 1989.48 394.06 0.20 -37.49 5.78
239 1480.00 393.43 0.27 -64.17 2.46
240 511.73 396.82 0.66 83.10 2.26
241 1641.24 396.40 0.45 -3.55 1.78
242 396.13 397.25 0.48 4.24 1.60
243 930.23 400.12 0.16 -71.80 3.34
244 1136.03 400.31 0.32 -49.20 2.33
245 1018.11 402.10 0.68 72.30 1.78
246 521.05 405.62 0.18 58.77 4.07
247 1459.10 405.36 0.34 -61.62 4.07
248 348.79 405.34 0.15 23.46 3.61
249 618.32 414.91 0.27 47.80 10.56
250 119.01 409.12 0.39 19.49 5.70
251 1861.08 405.38 0.55 -4.23 1.87
252 187.75 412.44 0.37 32.30 7.57
253 1069.92 408.41 0.17 75.58 2.59
254 1326.54 408.44 0.21 -43.96 2.65
255 946.24 412.26 0.12 -68.56 4.55
256 1037.27 411.94 0.30 7.40 3.09
257 160.60 413.64 0.61 63.36 2.39
258 1208.93 417.23 0.16 -32.66 4.98
259 411.39 420.04 0.66 -40.96 3.48
260 1606.48 417.03 0.39 -47.60 1.60
261 1182.99 425.03 0.18 -72.12 6.26
262 875.47 434.40 0.06 -79.46 10.56
263 1725.60 424.13 0.23 -21.06 2.46
264 1339.51 424.11 0.17 -84.55 1.69
265 453.29 430.39 0.17 50.00 6.48
266 1430.57 433.21 0.41 80.90 5.67
267 845.57 433.21 0.03 30.38 4.30
268 1025.71 433.38 0.67 -85.24 2.03
269 938.37 433.69 0.17 -11.40 2.19
270 1483.02 436.42 0.28 41.01 2.19
271 371.44 437.73 0.23 39.81 3.14
272 1998.92 437.32 0.21 16.89 2.65
273 1659.30 440.69 0.18 -46.93 5.75
274 133.53 438.10 0.32 -54.52 1.60
275 603.60 441.07 0.29 29.71 2.93
276 1966.06 442.17 0.44 -0.32 3.19
277 1979.40 444.33 0.25 -6.30 5.05
278 1082.33 448.00 0.03 67.82 4.07
279 497.00 448.82 0.20 51.73 5.64
280 1509.89 450.18 0.26 -43.50 3.66
281 1490.37 450.40 0.13 -45.84 2.19
282 1387.70 459.26 0.28 -54.91 3.95
283 1617.16 465.30 0.13 -39.99 8.16
284 1285.38 463.04 0.36 -82.38 2.03
285 1661.37 463.89 0.47 80.77 1.60
286 1783.69 464.51 0.36 85.33 2.33
287 165.34 470.87 0.32 28.09 6.51
288 339.34 468.65 0.30 0.94 3.83
289 214.53 483.55 0.29 -67.43 7.88
290 495.36 478.04 0.30 84.79 3.09
291 959.45 480.98 0.06 -61.64 6.75
292 1614.61 477.36 0.56 -11.44 1.60
293 87.93 479.67 0.54 -62.69 2.26
294 268.40 481.05 0.39 54.19 2.71
295 1958.39 482.09 0.25 89.41 2.99
296 49.26 480.04 0.62 -39.85 1.60
297 794.18 482.72 0.08 -83.12 3.24
298 1169.01 481.81 0.45 -79.61 1.87
299 676.08 486.12 0.28 -73.72 3.74
300 1873.57 484.09 0.40 -19.57 2.11
301 398.71 489.45 0.14 55.57 3.95
302 108.84 491.35 0.12 86.99 3.29
303 1525.94 488.92 0.39 -81.28 1.78
304 1828.18 493.18 0.15 -54.81 3.95
305 1683.76 513.35 0.11 -46.91 19.38
306 582.21 492.54 0.35 -36.27 1.60
307 70.21 495.70 0.55 -34.95 3.19
308 820.03 495.67 0.04 -41.70 4.55
309 988.81 496.09 0.07 41.75 3.34
310 275.47 499.75 0.25 47.00 4.30
311 914.31 496.33 0.18 -77.03 2.19
312 75.92 499.29 0.75 -49.44 1.87
313 1197.98 501.15 0.09 18.42 2.46
314 991.80 503.45 0.21 -14.96 2.59
315 1506.47 505.47 0.19 88.41 3.39
316 190.63 504.11 0.47 -67.49 1.60
317 1411.14 506.00 0.41 -45.50 2.71
318 965.89 508.12 0.18 9.79 3.14
319 1878.99 508.85 0.14 -11.89 2.93
320 311.92 509.71 0.36 84.48 2.82
321 1096.42 511.05 0.17 -50.27 2.99
322 1550.52 511.44 0.53 -89.51 1.60
323 916.43 512.51 0.45 -86.17 1.87
324 1656.32 513.96 0.69 43.69 2.76
325 1279.31 516.64 0.18 21.04 2.52
326 1961.69 527.93 0.27 -32.47 8.00
327 1849.51 527.57 0.27 -37.52 4.75
328 1825.90 528.74 0.40 -12.90 2.82
329 772.84 530.46 0.45 72.53 1.95
330 348.39 531.41 0.24 -32.61 3.04
331 1039.92 532.58 0.12 83.15 4.15
332 1803.54 536.19 0.21 -39.31 3.04
333 1871.60 543.58 0.18 -33.42 8.90
334 1458.22 536.99 0.14 8.63 2.71
335 1009.04 541.16 0.14 -28.51 2.59
336 1534.52 541.91 0.06 -12.83 1.95
337 1550.20 545.15 0.08 -8.47 5.35
338 1659.02 543.50 0.12 -71.20 3.34
339 1393.93 547.96 0.58 5.66 4.41
340 312.32 549.36 0.22 20.79 4.26
341 229.19 565.80 0.23 29.16 17.10
342 1576.46 552.01 0.12 -16.61 4.07
343 1852.87 551.38 0.70 62.74 1.60
344 321.49 550.95 0.38 27.37 1.78
345 928.20 555.70 0.09 -67.27 5.73
346 1122.14 552.59 0.25 -43.03 3.24
347 791.72 553.66 0.22 17.69 2.93
348 666.75 555.44 0.20 3.00 2.03
349 863.63 559.32 0.26 -44.10 4.98
350 820.58 561.11 0.04 -67.44 5.41
351 1457.49 561.35 0.27 -68.16 3.66
352 1922.30 559.03 0.13 -83.84 2.39
353 372.29 562.57 0.21 29.70 4.58
354 944.68 563.39 0.33 -62.91 2.88
355 1615.47 562.20 0.06 79.13 2.65
356 971.15 563.50 0.26 -30.72 3.34
357 194.88 564.29 0.03 59.56 2.46
358 1230.34 565.02 0.10 68.05 3.39
359 287.58 567.41 0.14 -9.15 2.33
360 1736.34 570.27 0.35 -73.40 3.66
361 1026.11 571.95 0.44 -58.19 4.15
362 1763.84 573.93 0.15 28.48 3.99
363 1161.90 578.55 0.12 85.58 5.38
364 1509.34 575.86 0.22 4.95 2.11
365 1199.79 584.28 0.07 -57.81 8.96
366 1394.83 575.90 0.67 14.38 1.60
367 209.60 583.87 0.40 -12.77 1.69
368 926.11 591.02 0.52 -62.99 2.33
369 210.29 591.18 0.50 45.07 2.26
370 997.60 590.22 0.57 -19.86 2.03
371 1570.35 592.27 0.08 -61.48 2.46
372 1115.96 596.27 0.04 -33.43 5.75
373 1508.51 597.15 0.11 78.51 3.52
374 1564.79 600.10 0.05 -45.06 3.70
375 1453.57 601.04 0.10 -29.79 1.87
376 1867.48 609.05 0.37 -18.67 8.35
377 970.55 604.98 0.07 54.44 3.14
378 129.63 608.11 0.33 23.48 6.77
379 256.59 604.51 0.44 -31.82 1.69
380 1789.83 604.99 0.23 -18.37 2.59
381 749.05 607.75 0.19 -86.34 2.99
382 827.48 622.35 0.24 -68.06 13.93
383 490.27 609.10 0.02 45.76 4.07
384 162.97 612.93 0.35 29.96 4.58
385 1615.50 615.02 0.12 -75.01 4.65
386 1104.52 616.66 0.53 51.26 4.85
387 583.31 614.38 0.18 22.39 2.33
388 540.35 614.50 0.22 -47.63 1.60
389 313.83 618.47 0.52 37.17 3.95
390 1053.63 616.63 0.43 -54.91 2.19
391 615.95 622.06 0.25 87.13 5.59
392 1212.97 619.81 0.34 -39.45 3.09
393 431.72 617.99 0.43 -47.07 1.69
394 1264.68 623.34 0.20 -56.56 3.43
395 1336.86 626.24 0.44 40.63 4.37
396 1457.14 628.23 0.12 -30.50 4.75
397 304.39 627.65 0.53 45.43 1.95
398 677.68 631.66 0.01 13.31 5.67
399 475.90 629.73 0.27 76.06 1.87
400 1859.11 630.70 0.15 73.66 2.26
401 1021.70 630.19 0.10 -10.22 1.95
402 1407.87 632.38 0.13 29.73 3.66
403 947.71 635.18 0.32 -66.66 2.88
404 937.16 634.93 0.07 68.70 2.46
405 369.27 635.29 0.31 17.77 1.78
406 1401.25 638.61 0.48 15.85 2.39
407 594.74 649.12 0.07 66.25 9.25
408 2012.46 640.84 0.62 -85.18 1.69
409 31.25 641.71 0.37 -72.68 1.78
410 347.22 643.27 0.37 89.54 2.59
411 825.86 644.79 0.15 -56.65 3.52
412 1293.88 644.46 0.22 -73.61 2.33
413 413.57 646.96 0.18 38.37 5.50
414 1958.58 649.97 0.14 -7.75 7.57
415 1483.56 645.56 0.18 33.59 1.60
416 909.90 647.89 0.23 -42.62 1.60
417 1707.78 650.40 0.36 -50.50 3.09
418 1179.63 649.87 0.21 -49.42 2.19
419 384.61 653.30 0.11 60.72 3.14
420 428.92 652.75 0.14 -35.38 1.60
421 707.90 653.39 0.46 -42.90 1.95
422 1760.39 661.82 0.10 -37.21 9.54
423 168.98 656.60 0.16 77.97 4.33
424 453.52 654.87 0.30 55.84 2.33
425 718.96 657.44 0.11 20.96 2.26
426 1158.95 658.29 0.38 62.43 2.59
427 1252.75 659.82 0.37 -66.43 3.95
428 1494.21 661.55 0.08 49.85 3.04
429 693.02 663.03 0.39 36.00 3.09
430 1725.07 662.74 0.21 -63.83 2.82
431 770.62 664.92 0.23 49.35 2.26
432 1031.16 668.07 0.06 -22.35 4.51
433 1484.15 666.64 0.27 -85.19 2.59
434 629.37 666.36 0.13 -30.78 1.87
435 1135.98 670.66 0.12 -9.35 6.18
436 1317.06 666.48 0.39 -61.84 1.78
437 692.34 669.73 0.68 -81.46 1.60
438 927.94 674.97 0.04 -71.00 5.56
439 1050.64 672.29 0.43 17.75 4.18
440 1124.14 670.06 0.24 -16.64 2.03
441 417.16 686.95 0.09 40.30 13.06
442 989.73 673.36 0.64 -60.64 1.78
443 552.29 680.62 0.26 34.76 5.61
444 1320.17 683.14 0.02 -44.90 4.69
445 496.33 683.36 0.31 -51.58 2.33
446 1294.68 684.52 0.09 -77.78 3.09
447 379.31 683.93 0.30 73.68 2.26
448 1036.93 686.71 0.10 -51.20 4.41
449 1886.73 684.71 0.20 -31.90 3.19
450 456.36 688.92 0.57 37.08 5.26
451 1730.20 688.42 0.02 19.97 4.92
452 1359.23 693.36 0.10 -43.03 3.87
453 230.81 702.66 0.20 28.95 7.44
454 603.97 697.53 0.28 89.16 3.24
455 783.69 698.09 0.35 60.24 3.95
456 1654.04 696.88 0.15 -51.42 4.58
457 1115.03 697.08 0.16 -37.77 3.04
458 158.01 697.11 0.44 4.29 2.33
459 196.82 705.47 0.28 24.22 7.63
460 1917.40 703.09 0.22 -21.48 4.85
461 732.69 702.52 0.73 -58.34 1.69
462 932.29 705.63 0.09 16.48 6.08
463 1174.71 704.07 0.25 74.63 2.03
464 1370.66 705.95 0.18 -77.61 3.52
465 1343.86 705.02 0.21 -6.66 1.78
466 496.96 712.05 0.05 -11.09 5.64
467 766.12 708.48 0.17 -49.64 2.39
468 1457.16 707.42 0.29 -47.41 2.19
469 552.34 711.25 0.13 84.23 3.74
470 663.67 710.25 0.34 7.95 1.78
471 1647.14 711.87 0.25 -45.40 3.29
472 223.30 713.06 0.13 -6.52 2.99
473 1225.50 715.54 0.25 -74.02 4.03
474 822.41 714.60 0.66 -8.92 1.60
475 1986.80 718.52 0.44 33.45 2.19
476 905.59 721.51 0.05 -65.82 4.48
477 1438.42 720.26 0.32 -8.50 3.29
478 1680.46 723.34 0.27 -34.02 5.29
479 420.16 722.65 0.50 35.20 1.95
480 849.91 724.95 0.18 -28.70 4.33
481 150.98 724.61 0.32 37.70 2.99
482 381.14 723.57 0.18 -51.25 1.87
483 203.79 725.22 0.18 30.19 2.65
484 834.51 725.66 0.36 -87.62 2.59
485 1158.37 727.68 0.13 -46.15 5.67
486 1498.94 729.02 0.24 -89.44 4.30
487 118.66 727.78 0.55 11.75 1.69
488 430.64 739.10 0.14 40.52 9.17
489 1698.80 735.30 0.31 -61.40 3.39
490 781.01 734.73 0.69 -30.28 2.76
491 1582.97 734.98 0.14 18.46 2.65
492 1987.77 738.09 0.18 -35.06 3.52
493 205.30 738.82 0.17 27.54 3.66
494 444.97 738.38 0.35 -45.81 3.04
495 769.35 736.50 0.22 -15.22 1.60
496 648.65 737.70 0.67 23.85 1.60
497 834.92 736.93 0.25 -47.57 1.60
498 1516.54 739.88 0.19 -39.24 2.88
499 26.71 740.63 0.39 21.21 1.95
500 602.15 744.08 0.25 -0.13 4.72
501 1025.36 742.41 0.63 -29.43 2.19
502 985.63 745.21 0.13 -47.29 3.74
503 416.97 744.93 0.34 -10.94 2.19
504 1568.88 747.29 0.47 52.72 2.11
505 62.63 753.59 0.81 -89.57 2.93
506 48.66 753.05 0.71 87.17 2.65
507 1109.93 751.73 0.33 -40.16 4.03
508 499.92 758.58 0.05 21.48 7.98
509 1390.28 761.40 0.05 -60.92 8.02
510 1948.18 755.42 0.59 -48.24 2.03
511 999.23 765.09 0.04 -50.71 9.34
512 515.81 758.18 0.16 19.09 2.26
513 794.42 757.45 0.25 -14.46 2.03
514 921.21 762.18 0.28 -84.62 5.47
515 133.21 760.40 0.40 41.77 2.39
516 759.34 759.64 0.85 60.57 1.69
517 1654.71 759.72 0.42 57.48 2.39
518 1856.22 761.06 0.64 -62.80 2.52
519 1026.58 760.79 0.49 -22.74 3.61
520 1371.96 761.16 0.51 76.43 2.33
521 1829.21 762.90 0.15 -47.16 4.33
522 1909.18 761.04 0.12 -39.95 1.87
523 368.26 763.99 0.38 -24.83 1.60
524 62.67 766.16 0.52 72.40 1.69
525 1238.92 768.21 0.21 -17.63 5.35
526 595.79 771.73 0.18 0.82 7.23
527 1118.94 772.31 0.08 -14.86 7.48
528 48.67 769.02 0.68 -81.39 1.95
529 759.45 769.19 0.19 -89.14 3.66
530 1615.78 769.54 0.12 -62.92 3.99
531 1657.80 769.81 0.08 -58.69 3.99
532 749.69 769.96 0.35 -20.99 2.19
533 1978.89 770.79 0.23 -9.72 3.78
534 619.63 773.31 0.07 -8.98 4.51
535 1011.05 772.21 0.11 -52.93 2.52
536 63.21 776.63 0.55 80.30 3.04
537 316.11 775.30 0.31 -1.29 2.65
538 1152.59 777.58 0.18 -61.22 2.93
539 306.81 780.30 0.31 38.37 4.22
540 1711.90 784.43 0.10 -54.64 7.48
541 518.01 781.46 0.12 50.23 4.72
542 2013.96 778.11 0.22 -71.40 1.69
543 1369.48 783.74 0.33 -58.40 2.26
544 63.51 786.43 0.33 83.38 1.87
545 1238.34 786.73 0.13 2.91 2.59
546 1837.85 788.95 0.10 -19.70 5.05
547 1630.74 788.97 0.18 -42.66 3.48
548 2005.24 789.29 0.39 -67.66 1.60
549 247.30 795.29 0.26 17.54 6.38
550 604.73 791.26 0.11 -87.07 2.71
551 682.85 791.94 0.77 -71.78 1.95
552 689.48 790.31 0.47 -24.99 1.60
553 736.34 792.21 0.73 51.64 2.03
554 1414.88 792.40 0.20 67.35 2.99
555 720.20 796.52 0.28 88.24 3.14
556 337.74 799.72 0.14 25.43 6.98
557 872.49 796.50 0.37 -24.32 2.88
558 1599.64 795.39 0.33 50.23 2.03
559 27.84 799.92 0.21 -10.54 4.07
560 62.48 799.66 0.73 78.57 1.87
561 367.76 802.77 0.31 -85.15 1.60
562 722.76 810.39 0.07 -56.85 7.27
563 1266.95 805.44 0.34 -61.05 3.39
564 1251.84 805.21 0.16 -36.43 2.93
565 296.31 810.33 0.18 40.10 4.75
566 1607.42 809.25 0.47 -86.25 1.60
567 145.92 825.66 0.25 15.38 12.27
568 1332.50 811.24 0.16 87.03 2.76
569 676.30 812.72 0.15 -5.47 2.26
570 709.82 813.14 0.24 -28.25 2.52
571 1594.32 813.30 0.10 -25.50 2.76
572 46.24 813.21 0.40 84.65 1.60
573 752.96 815.03 0.42 80.01 2.26
574 407.37 817.29 0.18 -36.89 2.11
575 569.67 819.89 0.09 53.76 4.33
576 1063.99 818.79 0.24 -24.39 3.66
577 1175.22 817.46 0.51 88.17 1.69
578 539.25 820.02 0.46 6.36 3.04
579 708.04 824.19 0.38 -67.96 3.04
580 235.83 837.44 0.24 16.73 15.69
581 1070.62 823.47 0.66 -81.66 1.60
582 1709.09 824.35 0.13 -78.19 3.29
583 70.35 826.02 0.39 11.34 4.92
584 1801.28 824.89 0.01 24.43 3.95
585 469.73 826.06 0.10 -45.91 1.78
586 1477.82 837.71 0.05 -43.91 10.17
587 1847.56 829.84 0.19 82.00 2.39
588 915.08 832.09 0.36 22.38 2.59
589 1636.56 834.42 0.08 78.03 3.78
590 556.79 833.80 0.25 87.26 1.87
591 1516.63 836.66 0.21 84.58 3.19
592 444.58 835.21 0.48 -12.06 2.26
593 1172.57 839.32 0.35 -30.98 1.87
594 1689.63 841.96 0.16 36.29 2.52
595 404.59 847.15 0.38 62.27 5.67
596 46.98 844.82 0.15 -28.20 2.33
597 274.20 844.97 0.46 35.10 2.65
598 1416.82 848.49 0.04 -7.72 3.74
599 612.17 849.57 0.11 70.60 3.87
600 938.00 851.29 0.42 -14.45 5.08
601 217.32 854.94 0.35 19.05 4.55
602 464.68 853.50 0.14 -79.68 2.76
603 1001.58 856.98 0.25 -45.96 6.02
604 161.71 857.04 0.53 -81.02 2.76
